MBM112 Managerial Decision Making MEMBA,MBM112M,BBMBAB
SMM950 Portfolio Management (MSc FI, WM),SMM950 FI WM,BBMSCB
SMM124 Financial Risk Management (MSc FI),SMM124,BBMSCB
SMM520 Foreign Exchange (MSc FI),SMM520 - FI,BBMSCB
SMM519 Alternative Investments (MSc FI, WM),SMM519 FI WM,BBMSCB
ETM065 MEng Design Studies (Aero),ETM065,EESEMS
FR3210 Climate Change & its impact on the World Economy,FR3210,BBUGPR
SMM598 Six Sigma for Managers,SMM598,BBMSCB
z/SMM717 Supply Chain Modelling,SMM717,BBMSCB
SMM235 An Introduction to Islamic Banking, Finance & Insurance,SMM235,BBMSCB
SMM234 Raising Equity Capital,SMM234,BBMSCB
MEA2xxx Personal Tutor Hour,MEA2XXX,EESEMS
BS3108 Consumer Behaviour,BS3108,BBUGPR
EVIEWS YR 3 (MGT)/Spring,EVIEWSMGTspring,BBUGPR
EVIEWS YR 3 (IFRM/REFI)/Spring,EVIEWSIFRMspring,BBUGPR
EVIEWS YR 3 (BUS)/Spring,EVIEWSBUSspring,BBUGPR
EVIEWS YR 3 (BIF)/Spring,EVIEWSBIFspring,BBUGPR
SGM240 Victimology,SGM240,SSSOCL
INM343 Databases (PT),INM343 (PT),IISOIN
SMM027 Introduction to Copula Modelling,SMM027,BBMSCB
SMM069 Modelling & Data Analysis/Term 3,SMM069,BBMSCB
SMM070 Topics in Quantitative Risk Management,SMM070,BBMSCB
SMM121 Hedge Funds/Block/Stream 01,SMM121 Block,BBMSCB
SMM120 Finance in Emerging Markets,SMM120,BBMSCB
CS1872 Arabic II Autumn Term,CS1872,AACONT
CE1890 German 1 Elementary,CE1890,AACONT
CE1891 Japanese 2 Intermediate,CE1891,AACONT
CE1886 French 2 Intermediate,CE1886,AACONT
CE1889 Japanese 1 Elementary,CE1889,AACONT
CE1611 Guiding Skills: Foundation,CE1611,AACONT
CE2618 The Thames: An Archaeological Survey,CE2618,AACONT
JOM470 Practical Production (Print),JOM470 P,AAJOUR
EPM948 Communication And Presentation,EPM948,EESEMS
MBM161 Strategy in the Face of Uncertainty/ MEMBA,MBM161 MEMBA,BBMBAB
MBM162 Strategic Hedge Fund Investing/MEMBA,MBM162 MEMBA,BBMBAB
MBM526 Managing Strategic Change/MEMBA,MBM526 MEMBA,BBMBAB
LU3086 Family & Child Law,LU3086,LLILAW
LU3087 Employment Law,LU3087,LLILAW
LU3084 Public International Law,LU3084,LLILAW
LU3089 Banking Law,LU3089,LLILAW
LU3091 Constitutional Law of the USA,LU3091,LLILAW
LU3088 Commercial & Agency Law,LU3088,LLILAW
LU3092 Canadian Constitutional Law,LU3092,LLILAW
LU3094 Immigration Law,LU3094,LLILAW
LG3086 Family & Child Law,LG3086,LLILAW
LG3087 Employment Law,LG3087,LLILAW
LG3084 Public International Law,LG3084,LLILAW
LG3089 Banking Law,LG3089,LLILAW
LG3091 Constitutional Law of the USA,LG3091,LLILAW
LG3088 Commercial & Agency Law,LG3088,LLILAW
LG3092 Canadian Constitutional Law,LG3090,LLILAW
LG3094 Immigration Law,LG3094,LLILAW
EVIEWS YR 3 (BIF)/Autumn,EVIEWSBIFautumn,BBUGPR
EVIEWS YR 3 (MGT)/Autumn,EVIEWSMGTautumn,BBUGPR
EVIEWS YR 3 (IFRM/REFI)/Autumn,EVIEWSIFRMautumn,BBUGPR
ZZ//RD3010 Trauma,RD3010,HARADI
RC3002 Extended Literature Review,RC3002,HARADI
ZZ//RC3003 Interprofessional Special Study Module,RC3003,HARADI
ZZ//RC3004 Prescribing & IV Injecting Course,RC3004,HARADI
ZZ//RD3005 Equipment Evaluation,RD3005,HARADI
ZZ//RD3006 Preparation for Clinical Practice,RD3006,HARADI
RC3007 Research Project,RC3007,HARADI
ZZ//RT3010 Anatomy Oncology & Management 4 (CNS),RT3010,HARADI
ZZ//RT3002 Competence to Practice 3,RT3002,HARADI
RT3006 Progressive Techniques,RT3006,HARADI
RT3007 Healthcare Policy and Quality Management,RT3007,HARADI
ECM024 Economics of Micro-Finance,ECM024,SSECON
CE1887 French 3 Upper Intermediate,CE1887,AACONT
CE1892 Spanish 1 Elementary,CE1892,AACONT
CE1894 Spanish 2 Intermediate,CE1894,AACONT
BS3xxx SPSS Research,BS3XXX,BBUGPR
CV2407 Engineering Mathematics & Numerical Methods,CV2407,EESEMS
CV3408 Engineering Management & Civil Engineering Paper,CV3408,EESEMS
CE2781 Advanced Presentation Skills,CE2781,AACONT
CE2671 Arts of Georgian Britain,CE2671,AACONT
CE2622 Art and Science,CE2622,AACONT
SMM270 Foundations of Econometrics,SMM270,BBMSCB
SMM271 Econometrics of Financial Markets,SMM271,BBMSCB
SMM254 Derivatives,SMM254,BBMSCB
MBM126 The New Strategic Landscape: Innovative Perspectives on Strategy/EMBA,MBM126 emba,BBMBAB
MBM407 Mba Block 2: Quantitative Methods (A),MBM407 QM (A),BBMBAB
MBM406 Mba Block 1: Accounting & Financial Reporting (A),MBM406 acc A,BBMBAB
MBM409 Mba Block 4: Information Management (A),MBM409  IM (A),BBMBAB
MBM407 Mba Block 2: Principles of Finance (A),MBM407 POF (A),BBMBAB
MBM407 Mba Block 2: Business Economics (A),MBM407 bus econ (A),BBMBAB
MBM408 Mba Block 3: Marketing (A),MBM408 MKT (A),BBMBAB
MBM408 Mba Block 3: Operations Management (A),MBM408 OM  (A),BBMBAB
MBM406 Mba Block 1: Organisational Behaviour (A),MBM406 org (A),BBMBAB
MBM408 Mba Block 3: Human Resource Management (A),MBM408 HRM  (A),BBMBAB
MBM406 Mba Block 1: Strategy (A),MBM406 strat (A),BBMBAB
MBM409 Mba Block 4: Corporate Governance (A),MBM409 CG (A),BBMBAB
MBM409 Mba Block 4: Corporate Finance (A),MBM409 CF (A),BBMBAB
EPM870 Energy Utilisation and Management,EPM870,EESEMS
MBM134 Private Equity MEMBA,MBM134,BBMBAB
MBM113 Consulting on Management MEMBA,MBM113M,BBMBAB
JOM845 Online Journalism (Broadcast),JOM845TB,AAJOUR
MBM409 Mba Block 4: Integration Week Presentations,MBM409 INT,BBMBAB
LG3078 Commercial Property Law,LG3078,LLILAW
JOM845 Online Journalism (Investigative),JOM845I,AAJOUR
MBM538 Management Professional Service Firms EMBA,MBM538,BBMBAB
MBM163 Investment Strategy & Practice EMBA,MBM163 EMBA,BBMBAB
SMM557 Principles of Finance,SMM557.,BBMSCB
AF2102 Management Accounting,AF2102,BBUGPR
JOM867 Investigative Journalism Practice,JOM867,AAJOUR
SMM313 Numerical Methods 2 : Applications in Finance,SMM313,BBMSCB
